datetime,location,door_status
2017-03-25 12:00:52,Georgetown-manual,closed
2017-03-25 12:01:06,Georgetown-manual,opened
2017-03-25 12:01:12,Georgetown-manual,closed
2017-03-25 12:01:21,Georgetown-manual,opened
2017-03-25 12:01:38,Georgetown-manual,closed
2017-03-25 12:02:14,Georgetown-manual,opened
2017-03-25 12:02:24,Georgetown-manual,closed
2017-03-25 12:02:35,Georgetown-manual,opened
2017-03-25 12:02:42,Georgetown-manual,closed
2017-03-25 12:26:10,Georgetown-manual,opened
2017-03-25 12:26:10,Georgetown-manual,closed
2017-03-25 12:26:14,Georgetown-manual,opened
2017-03-25 12:26:20,Georgetown-manual,closed
2017-03-25 12:26:39,Georgetown-manual,opened
2017-03-25 12:26:44,Georgetown-manual,closed
2017-03-25 12:30:53,Georgetown-manual,opened
2017-03-25 12:31:04,Georgetown-manual,closed
2017-03-25 12:31:05,Georgetown-manual,opened
2017-03-25 12:31:10,Georgetown-manual,closed
2017-03-25 12:32:49,Georgetown-manual,opened
2017-03-25 12:32:54,Georgetown-manual,closed
2017-03-25 12:37:20,Georgetown-manual,opened
2017-03-25 12:37:25,Georgetown-manual,closed
2017-03-25 12:37:27,Georgetown-manual,opened
2017-03-25 12:37:36,Georgetown-manual,closed
2017-03-25 12:37:51,Georgetown-manual,opened
2017-03-25 12:37:56,Georgetown-manual,closed
2017-03-25 12:39:02,Georgetown-manual,opened
2017-03-25 12:39:07,Georgetown-manual,closed
2017-03-25 12:40:31,Georgetown-manual,opened
2017-03-25 12:40:36,Georgetown-manual,closed
2017-03-25 12:41:04,Georgetown-manual,opened
2017-03-25 12:41:10,Georgetown-manual,closed
2017-03-25 12:44:56,Georgetown-manual,opened
2017-03-25 12:45:07,Georgetown-manual,closed
2017-03-25 12:45:24,Georgetown-manual,opened
2017-03-25 12:45:29,Georgetown-manual,closed
2017-03-25 12:45:33,Georgetown-manual,opened
2017-03-25 12:45:38,Georgetown-manual,closed
2017-03-25 12:45:53,Georgetown-manual,opened
2017-03-25 12:45:58,Georgetown-manual,closed
2017-03-25 12:45:59,Georgetown-manual,opened
2017-03-25 12:46:04,Georgetown-manual,closed
2017-03-25 12:47:46,Georgetown-manual,opened
2017-03-25 12:47:49,Georgetown-manual,closed
2017-03-25 12:48:06,Georgetown-manual,opened
2017-03-25 12:48:11,Georgetown-manual,closed
2017-03-25 12:50:24,Georgetown-manual,opened
2017-03-25 12:50:28,Georgetown-manual,closed
2017-03-25 12:50:44,Georgetown-manual,opened
2017-03-25 12:50:50,Georgetown-manual,closed
2017-03-25 12:52:31,Georgetown-manual,opened
2017-03-25 12:52:37,Georgetown-manual,closed
2017-03-25 12:54:17,Georgetown-manual,opened
2017-03-25 12:54:22,Georgetown-manual,closed
2017-03-25 12:54:25,Georgetown-manual,opened
2017-03-25 12:54:29,Georgetown-manual,closed
2017-03-25 12:56:25,Georgetown-manual,opened
2017-03-25 12:56:29,Georgetown-manual,closed
2017-03-25 12:57:09,Georgetown-manual,opened
2017-03-25 12:57:14,Georgetown-manual,closed
2017-03-25 12:59:09,Georgetown-manual,opened
2017-03-25 12:59:19,Georgetown-manual,closed
2017-03-25 12:59:49,Georgetown-manual,opened
2017-03-25 12:59:54,Georgetown-manual,closed
2017-03-25 13:00:51,Georgetown-manual,opened
2017-03-25 13:00:54,Georgetown-manual,closed
2017-03-25 13:01:20,Georgetown-manual,opened
2017-03-25 13:01:23,Georgetown-manual,closed
2017-03-25 13:04:11,Georgetown-manual,opened
2017-03-25 13:04:15,Georgetown-manual,closed
2017-03-25 13:04:29,Georgetown-manual,opened
2017-03-25 13:04:33,Georgetown-manual,closed
2017-03-25 13:04:41,Georgetown-manual,opened
2017-03-25 13:04:49,Georgetown-manual,closed
2017-03-25 13:04:59,Georgetown-manual,opened
2017-03-25 13:05:10,Georgetown-manual,closed
2017-03-25 13:05:18,Georgetown-manual,opened
2017-03-25 13:05:23,Georgetown-manual,closed
2017-03-25 13:06:38,Georgetown-manual,opened
2017-03-25 13:06:41,Georgetown-manual,closed
2017-03-25 13:08:02,Georgetown-manual,opened
2017-03-25 13:08:05,Georgetown-manual,closed
2017-03-25 13:31:26,Georgetown-manual,opened
2017-03-25 13:31:29,Georgetown-manual,closed
2017-03-25 13:40:07,Georgetown-manual,opened
2017-03-25 13:40:10,Georgetown-manual,closed
2017-03-25 13:58:05,Georgetown-manual,opened
2017-03-25 13:58:08,Georgetown-manual,closed
2017-03-25 13:58:48,Georgetown-manual,opened
2017-03-25 13:58:53,Georgetown-manual,closed
2017-03-25 13:59:14,Georgetown-manual,opened
2017-03-25 13:59:19,Georgetown-manual,closed
2017-03-25 13:59:23,Georgetown-manual,opened
2017-03-25 13:59:29,Georgetown-manual,closed
2017-03-25 14:01:11,Georgetown-manual,opened
2017-03-25 14:01:16,Georgetown-manual,closed
2017-03-25 14:01:18,Georgetown-manual,opened
2017-03-25 14:01:22,Georgetown-manual,closed
2017-03-25 14:01:48,Georgetown-manual,opened
2017-03-25 14:01:52,Georgetown-manual,closed
2017-03-25 14:02:02,Georgetown-manual,opened
2017-03-25 14:02:09,Georgetown-manual,closed
2017-03-25 14:02:12,Georgetown-manual,opened
2017-03-25 14:02:19,Georgetown-manual,closed
2017-03-25 14:02:50,Georgetown-manual,opened
2017-03-25 14:02:54,Georgetown-manual,closed
2017-03-25 14:03:06,Georgetown-manual,opened
2017-03-25 14:03:11,Georgetown-manual,closed
2017-03-25 14:04:50,Georgetown-manual,opened
2017-03-25 14:04:54,Georgetown-manual,closed
2017-03-25 14:05:07,Georgetown-manual,opened
2017-03-25 14:05:12,Georgetown-manual,closed
2017-03-25 14:06:44,Georgetown-manual,opened
2017-03-25 14:06:49,Georgetown-manual,closed
2017-03-25 14:10:02,Georgetown-manual,opened
2017-03-25 14:10:06,Georgetown-manual,closed
2017-03-25 14:12:13,Georgetown-manual,opened
2017-03-25 14:12:18,Georgetown-manual,closed
2017-03-25 14:15:49,Georgetown-manual,opened
2017-03-25 14:15:54,Georgetown-manual,closed
2017-03-25 14:26:18,Georgetown-manual,opened
2017-03-25 14:26:23,Georgetown-manual,closed
2017-03-25 14:26:49,Georgetown-manual,opened
2017-03-25 14:26:55,Georgetown-manual,closed
2017-03-25 14:29:51,Georgetown-manual,opened
2017-03-25 14:29:56,Georgetown-manual,closed
2017-03-25 14:30:10,Georgetown-manual,opened
2017-03-25 14:30:14,Georgetown-manual,closed
2017-03-25 14:34:36,Georgetown-manual,opened
2017-03-25 14:34:41,Georgetown-manual,closed
2017-03-25 14:34:44,Georgetown-manual,opened
2017-03-25 14:34:48,Georgetown-manual,closed
2017-03-25 14:34:50,Georgetown-manual,opened
2017-03-25 14:35:02,Georgetown-manual,closed
2017-03-25 14:35:14,Georgetown-manual,opened
2017-03-25 14:35:18,Georgetown-manual,closed
2017-03-25 14:35:19,Georgetown-manual,opened
2017-03-25 14:35:23,Georgetown-manual,closed
2017-03-25 14:35:33,Georgetown-manual,opened
2017-03-25 14:35:38,Georgetown-manual,closed
2017-03-25 14:36:15,Georgetown-manual,opened
2017-03-25 14:36:19,Georgetown-manual,closed
2017-03-25 14:36:45,Georgetown-manual,opened
2017-03-25 14:36:50,Georgetown-manual,closed
2017-03-25 14:37:30,Georgetown-manual,opened
2017-03-25 14:37:38,Georgetown-manual,closed
2017-03-25 14:37:48,Georgetown-manual,opened
2017-03-25 14:37:50,Georgetown-manual,closed
2017-03-25 14:38:27,Georgetown-manual,opened
2017-03-25 14:38:31,Georgetown-manual,closed
2017-03-25 14:38:34,Georgetown-manual,opened
2017-03-25 14:38:39,Georgetown-manual,closed
2017-03-25 14:38:54,Georgetown-manual,opened
2017-03-25 14:38:58,Georgetown-manual,closed
2017-03-25 14:39:05,Georgetown-manual,opened
2017-03-25 14:39:09,Georgetown-manual,closed
2017-03-25 14:39:15,Georgetown-manual,opened
2017-03-25 14:39:20,Georgetown-manual,closed
2017-03-25 14:40:31,Georgetown-manual,opened
2017-03-25 14:40:34,Georgetown-manual,closed
2017-03-25 14:42:36,Georgetown-manual,opened
2017-03-25 14:42:41,Georgetown-manual,closed
2017-03-25 14:42:42,Georgetown-manual,opened
2017-03-25 14:42:47,Georgetown-manual,closed
2017-03-25 14:45:23,Georgetown-manual,opened
2017-03-25 14:45:27,Georgetown-manual,closed
2017-03-25 14:45:35,Georgetown-manual,opened
2017-03-25 14:45:40,Georgetown-manual,closed
2017-03-25 15:35:58,Georgetown-manual,opened
2017-03-25 15:36:02,Georgetown-manual,closed
2017-03-25 15:38:51,Georgetown-manual,opened
2017-03-25 15:38:55,Georgetown-manual,closed
2017-03-25 16:02:12,Georgetown-manual,opened
2017-03-25 16:02:18,Georgetown-manual,closed
2017-03-25 16:02:24,Georgetown-manual,opened
2017-03-25 16:02:28,Georgetown-manual,closed
2017-03-25 16:02:34,Georgetown-manual,opened
2017-03-25 16:02:40,Georgetown-manual,closed
2017-03-25 16:02:51,Georgetown-manual,opened
2017-03-25 16:02:55,Georgetown-manual,closed
2017-03-25 16:03:34,Georgetown-manual,opened
2017-03-25 16:03:40,Georgetown-manual,closed
2017-03-25 16:04:01,Georgetown-manual,opened
2017-03-25 16:04:06,Georgetown-manual,closed
2017-03-25 16:04:30,Georgetown-manual,opened
2017-03-25 16:04:36,Georgetown-manual,closed
2017-03-25 16:04:45,Georgetown-manual,opened
2017-03-25 16:04:52,Georgetown-manual,closed
2017-03-25 16:04:55,Georgetown-manual,opened
2017-03-25 16:05:00,Georgetown-manual,closed
2017-03-25 16:05:05,Georgetown-manual,opened
2017-03-25 16:05:12,Georgetown-manual,closed
2017-03-25 16:05:49,Georgetown-manual,opened
2017-03-25 16:05:54,Georgetown-manual,closed
2017-03-25 16:06:22,Georgetown-manual,opened
2017-03-25 16:06:26,Georgetown-manual,closed
2017-03-25 16:07:02,Georgetown-manual,opened
2017-03-25 16:07:09,Georgetown-manual,closed
2017-03-25 16:11:15,Georgetown-manual,opened
2017-03-25 16:11:21,Georgetown-manual,closed
2017-03-25 16:11:31,Georgetown-manual,opened
2017-03-25 16:11:36,Georgetown-manual,closed
2017-03-25 16:11:55,Georgetown-manual,opened
2017-03-25 16:11:59,Georgetown-manual,closed
2017-03-25 16:13:27,Georgetown-manual,opened
2017-03-25 16:13:33,Georgetown-manual,closed
2017-03-25 16:15:24,Georgetown-manual,opened
2017-03-25 16:15:30,Georgetown-manual,closed
2017-03-25 16:15:59,Georgetown-manual,opened
2017-03-25 16:16:04,Georgetown-manual,closed
2017-03-25 16:17:02,Georgetown-manual,opened
2017-03-25 16:17:07,Georgetown-manual,closed
2017-03-25 16:17:38,Georgetown-manual,opened
2017-03-25 16:18:41,Georgetown-manual,closed
2017-03-25 16:19:31,Georgetown-manual,opened
2017-03-25 16:19:42,Georgetown-manual,closed
2017-03-25 16:20:06,Georgetown-manual,opened
2017-03-25 16:20:10,Georgetown-manual,closed
2017-03-25 16:31:56,Georgetown-manual,opened
2017-03-25 16:32:02,Georgetown-manual,closed
2017-04-01 09:04:17,Georgetown-manual,opened
2017-04-01 10:09:28,Georgetown-manual,opened
2017-04-01 10:09:34,Georgetown-manual,closed
2017-04-01 10:09:41,Georgetown-manual,opened
2017-04-01 10:09:45,Georgetown-manual,closed
2017-04-01 10:09:53,Georgetown-manual,opened
2017-04-01 10:09:57,Georgetown-manual,closed
2017-04-01 10:10:10,Georgetown-manual,opened
2017-04-01 10:10:15,Georgetown-manual,closed
2017-04-01 10:10:43,Georgetown-manual,opened
2017-04-01 10:10:48,Georgetown-manual,closed
2017-04-01 10:12:56,Georgetown-manual,opened
2017-04-01 10:13:01,Georgetown-manual,closed
2017-04-01 10:13:09,Georgetown-manual,opened
2017-04-01 10:13:12,Georgetown-manual,closed
2017-04-01 10:17:41,Georgetown-manual,opened
2017-04-01 10:17:44,Georgetown-manual,closed
2017-04-01 10:55:35,Georgetown-manual,opened
2017-04-01 10:55:40,Georgetown-manual,closed
2017-04-01 10:58:40,Georgetown-manual,opened
2017-04-01 10:58:44,Georgetown-manual,closed
2017-04-01 11:02:40,Georgetown-manual,opened
2017-04-01 11:02:52,Georgetown-manual,closed
2017-04-01 11:02:56,Georgetown-manual,opened
2017-04-01 11:03:05,Georgetown-manual,closed
2017-04-01 11:03:13,Georgetown-manual,opened
2017-04-01 11:03:18,Georgetown-manual,closed
2017-04-01 11:03:21,Georgetown-manual,opened
2017-04-01 11:03:25,Georgetown-manual,closed
2017-04-01 11:03:35,Georgetown-manual,opened
2017-04-01 11:03:38,Georgetown-manual,closed
2017-04-01 11:05:00,Georgetown-manual,opened
2017-04-01 11:05:04,Georgetown-manual,closed
2017-04-01 11:05:28,Georgetown-manual,opened
2017-04-01 11:05:37,Georgetown-manual,closed
2017-04-01 11:05:39,Georgetown-manual,opened
2017-04-01 11:05:45,Georgetown-manual,closed
2017-04-01 11:05:52,Georgetown-manual,opened
2017-04-01 11:05:57,Georgetown-manual,closed
2017-04-01 11:06:01,Georgetown-manual,opened
2017-04-01 11:06:08,Georgetown-manual,closed
2017-04-01 11:06:18,Georgetown-manual,opened
2017-04-01 11:06:29,Georgetown-manual,closed
2017-04-01 11:06:47,Georgetown-manual,opened
2017-04-01 11:06:54,Georgetown-manual,closed
2017-04-01 11:07:08,Georgetown-manual,opened
2017-04-01 11:07:13,Georgetown-manual,closed
2017-04-01 11:07:16,Georgetown-manual,opened
2017-04-01 11:07:21,Georgetown-manual,closed
2017-04-01 11:07:53,Georgetown-manual,opened
2017-04-01 11:08:02,Georgetown-manual,closed
2017-04-01 11:08:17,Georgetown-manual,opened
2017-04-01 11:08:22,Georgetown-manual,closed
2017-04-01 11:08:50,Georgetown-manual,opened
2017-04-01 11:08:56,Georgetown-manual,closed
2017-04-01 11:09:12,Georgetown-manual,opened
2017-04-01 11:09:20,Georgetown-manual,closed
2017-04-01 11:09:25,Georgetown-manual,opened
2017-04-01 11:09:29,Georgetown-manual,closed
2017-04-01 11:09:38,Georgetown-manual,opened
2017-04-01 11:09:44,Georgetown-manual,closed
2017-04-01 11:10:58,Georgetown-manual,opened
2017-04-01 11:11:02,Georgetown-manual,closed
2017-04-01 11:13:49,Georgetown-manual,opened
2017-04-01 11:13:53,Georgetown-manual,closed
2017-04-01 11:50:16,Georgetown-manual,opened
2017-04-01 11:50:22,Georgetown-manual,closed
2017-04-01 11:50:27,Georgetown-manual,opened
2017-04-01 11:50:43,Georgetown-manual,closed
2017-04-01 11:50:45,Georgetown-manual,opened
2017-04-01 11:50:51,Georgetown-manual,closed
2017-04-01 11:51:01,Georgetown-manual,opened
2017-04-01 11:51:05,Georgetown-manual,closed
2017-04-01 11:51:27,Georgetown-manual,opened
2017-04-01 11:51:37,Georgetown-manual,closed
2017-04-01 11:51:42,Georgetown-manual,opened
2017-04-01 11:51:47,Georgetown-manual,closed
2017-04-01 11:51:57,Georgetown-manual,opened
2017-04-01 11:52:08,Georgetown-manual,closed
2017-04-01 11:52:14,Georgetown-manual,opened
2017-04-01 11:52:24,Georgetown-manual,closed
2017-04-01 11:52:41,Georgetown-manual,opened
2017-04-01 11:52:44,Georgetown-manual,closed
2017-04-01 11:53:56,Georgetown-manual,opened
2017-04-01 11:54:00,Georgetown-manual,closed
2017-04-01 11:54:05,Georgetown-manual,opened
2017-04-01 11:54:09,Georgetown-manual,closed
2017-04-01 11:54:25,Georgetown-manual,opened
2017-04-01 11:54:29,Georgetown-manual,closed
2017-04-01 11:54:37,Georgetown-manual,opened
2017-04-01 11:54:45,Georgetown-manual,closed
2017-04-01 11:55:27,Georgetown-manual,opened
2017-04-01 11:55:43,Georgetown-manual,closed
2017-04-01 11:55:50,Georgetown-manual,opened
2017-04-01 11:55:55,Georgetown-manual,closed
2017-04-01 11:56:42,Georgetown-manual,opened
2017-04-01 11:56:51,Georgetown-manual,closed
2017-04-01 11:57:09,Georgetown-manual,opened
2017-04-01 11:57:15,Georgetown-manual,closed
2017-04-01 11:57:41,Georgetown-manual,opened
2017-04-01 11:57:46,Georgetown-manual,closed
2017-04-01 11:58:33,Georgetown-manual,opened
2017-04-01 11:58:38,Georgetown-manual,closed
2017-04-01 12:00:12,Georgetown-manual,opened
2017-04-01 12:00:17,Georgetown-manual,closed
2017-04-01 12:00:34,Georgetown-manual,opened
2017-04-01 12:00:41,Georgetown-manual,closed
2017-04-01 12:01:29,Georgetown-manual,opened
2017-04-01 12:01:33,Georgetown-manual,closed
2017-04-01 12:02:12,Georgetown-manual,opened
2017-04-01 12:02:17,Georgetown-manual,closed
2017-04-01 12:02:38,Georgetown-manual,opened
2017-04-01 12:02:42,Georgetown-manual,closed
2017-04-01 12:03:04,Georgetown-manual,opened
2017-04-01 12:03:04,Georgetown-manual,closed
2017-04-01 12:03:08,Georgetown-manual,opened
2017-04-01 12:03:17,Georgetown-manual,closed
2017-04-01 12:05:40,Georgetown-manual,opened
2017-04-01 12:05:45,Georgetown-manual,closed
2017-04-01 12:12:08,Georgetown-manual,opened
2017-04-01 12:12:12,Georgetown-manual,closed
2017-04-01 12:14:29,Georgetown-manual,opened
2017-04-01 12:14:34,Georgetown-manual,closed
2017-04-01 12:19:03,Georgetown-manual,opened
2017-04-01 12:19:08,Georgetown-manual,closed
2017-04-01 12:22:30,Georgetown-manual,opened
2017-04-01 12:22:35,Georgetown-manual,closed
2017-04-01 12:23:29,Georgetown-manual,opened
2017-04-01 12:23:33,Georgetown-manual,closed
2017-04-01 12:23:59,Georgetown-manual,opened
2017-04-01 12:24:04,Georgetown-manual,closed
2017-04-01 12:25:44,Georgetown-manual,opened
2017-04-01 12:25:47,Georgetown-manual,closed
2017-04-01 12:26:35,Georgetown-manual,opened
2017-04-01 12:26:43,Georgetown-manual,closed
2017-04-01 12:30:45,Georgetown-manual,opened
2017-04-01 12:30:50,Georgetown-manual,closed
2017-04-01 12:32:48,Georgetown-manual,opened
2017-04-01 12:32:54,Georgetown-manual,closed
2017-04-01 12:33:21,Georgetown-manual,opened
2017-04-01 12:33:31,Georgetown-manual,closed
2017-04-01 12:33:38,Georgetown-manual,opened
2017-04-01 12:33:42,Georgetown-manual,closed
2017-04-01 12:40:43,Georgetown-manual,opened
2017-04-01 12:40:48,Georgetown-manual,closed
2017-04-01 12:41:25,Georgetown-manual,opened
2017-04-01 12:41:31,Georgetown-manual,closed
2017-04-01 12:41:40,Georgetown-manual,opened
2017-04-01 12:41:45,Georgetown-manual,closed
2017-04-01 12:42:42,Georgetown-manual,opened
2017-04-01 12:42:46,Georgetown-manual,closed
2017-04-01 12:43:09,Georgetown-manual,opened
2017-04-01 12:43:14,Georgetown-manual,closed
2017-04-01 12:43:29,Georgetown-manual,opened
2017-04-01 12:43:34,Georgetown-manual,closed
2017-04-08 10:01:42,Georgetown,opened
2017-04-08 10:01:49,Georgetown,closed
2017-04-08 10:01:51,Georgetown,opened
2017-04-08 10:02:13,Georgetown,closed
2017-04-08 10:02:18,Georgetown,opened
2017-04-08 10:02:24,Georgetown,closed
2017-04-08 10:02:27,Georgetown,opened
2017-04-08 10:02:35,Georgetown,closed
2017-04-08 10:02:39,Georgetown,opened
2017-04-08 10:02:46,Georgetown,closed
2017-04-08 10:03:05,Georgetown,opened
2017-04-08 10:03:11,Georgetown,closed
2017-04-08 10:03:38,Georgetown,opened
2017-04-08 10:03:43,Georgetown,closed
2017-04-08 10:04:19,Georgetown,opened
2017-04-08 10:04:23,Georgetown,closed
2017-04-08 10:04:25,Georgetown,opened
2017-04-08 10:04:30,Georgetown,closed
2017-04-08 10:04:36,Georgetown,opened
2017-04-08 10:04:41,Georgetown,closed
2017-04-08 10:04:49,Georgetown,opened
2017-04-08 10:04:54,Georgetown,closed
2017-04-08 10:04:59,Georgetown,opened
2017-04-08 10:05:06,Georgetown,closed
2017-04-08 10:05:09,Georgetown,opened
2017-04-08 10:05:15,Georgetown,closed
2017-04-08 10:05:40,Georgetown,opened
2017-04-08 10:05:46,Georgetown,closed
2017-04-08 10:06:17,Georgetown,opened
2017-04-08 10:06:24,Georgetown,closed
2017-04-08 10:06:34,Georgetown,opened
2017-04-08 10:06:41,Georgetown,closed
2017-04-08 10:07:17,Georgetown,opened
2017-04-08 10:07:27,Georgetown,closed
2017-04-08 10:07:39,Georgetown,opened
2017-04-08 10:07:43,Georgetown,closed
2017-04-08 10:07:53,Georgetown,opened
2017-04-08 10:07:58,Georgetown,closed
2017-04-08 10:08:51,Georgetown,opened
2017-04-08 10:08:56,Georgetown,closed
2017-04-08 10:09:04,Georgetown,opened
2017-04-08 10:09:09,Georgetown,closed
2017-04-08 10:09:15,Georgetown,opened
2017-04-08 10:09:20,Georgetown,closed
2017-04-08 10:11:16,Georgetown,opened
2017-04-08 10:11:19,Georgetown,closed
2017-04-08 10:21:33,Georgetown,opened
2017-04-08 10:21:34,Georgetown,closed
2017-04-08 10:39:15,Georgetown,opened
2017-04-08 10:39:19,Georgetown,closed
2017-04-08 10:46:26,Georgetown,opened
2017-04-08 10:46:30,Georgetown,closed
2017-04-08 10:56:47,Georgetown,opened
2017-04-08 10:56:52,Georgetown,closed
2017-04-08 10:57:05,Georgetown,opened
2017-04-08 10:57:16,Georgetown,closed
2017-04-08 10:57:26,Georgetown,opened
2017-04-08 10:57:44,Georgetown,closed
2017-04-08 10:57:46,Georgetown,opened
2017-04-08 10:57:59,Georgetown,closed
2017-04-08 10:59:22,Georgetown,opened
2017-04-08 10:59:27,Georgetown,closed
2017-04-08 10:59:57,Georgetown,opened
2017-04-08 11:00:05,Georgetown,closed
2017-04-08 11:00:15,Georgetown,opened
2017-04-08 11:00:20,Georgetown,closed
2017-04-08 11:00:22,Georgetown,opened
2017-04-08 11:00:30,Georgetown,closed
2017-04-08 11:00:30,Georgetown,opened
2017-04-08 11:00:42,Georgetown,closed
2017-04-08 11:00:48,Georgetown,opened
2017-04-08 11:00:56,Georgetown,closed
2017-04-08 11:01:17,Georgetown,opened
2017-04-08 11:01:22,Georgetown,closed
2017-04-08 11:01:26,Georgetown,opened
2017-04-08 11:01:30,Georgetown,closed
2017-04-08 11:01:45,Georgetown,opened
2017-04-08 11:01:50,Georgetown,closed
2017-04-08 11:01:53,Georgetown,opened
2017-04-08 11:01:57,Georgetown,closed
2017-04-08 11:02:10,Georgetown,opened
2017-04-08 11:02:16,Georgetown,closed
2017-04-08 11:25:55,Georgetown,opened
2017-04-08 11:25:56,Georgetown,closed
2017-04-08 11:46:55,Georgetown,opened
2017-04-08 11:46:59,Georgetown,closed
2017-04-08 11:54:10,Georgetown,opened
2017-04-08 11:54:13,Georgetown,closed
2017-04-08 12:04:57,Georgetown,opened
2017-04-08 12:04:58,Georgetown,closed
2017-04-08 12:05:07,Georgetown,opened
2017-04-08 12:05:15,Georgetown,closed
2017-04-08 12:06:12,Georgetown,opened
2017-04-08 12:06:38,Georgetown,closed
2017-04-08 12:06:44,Georgetown,opened
2017-04-08 12:06:56,Georgetown,closed
2017-04-08 12:07:01,Georgetown,opened
2017-04-08 12:07:09,Georgetown,closed
2017-04-08 12:07:18,Georgetown,opened
2017-04-08 12:07:24,Georgetown,closed
2017-04-08 12:07:29,Georgetown,opened
2017-04-08 12:07:35,Georgetown,closed
2017-04-08 12:07:45,Georgetown,opened
2017-04-08 12:07:49,Georgetown,closed
2017-04-08 12:07:58,Georgetown,opened
2017-04-08 12:08:02,Georgetown,closed
2017-04-08 12:08:26,Georgetown,opened
2017-04-08 12:08:37,Georgetown,closed
2017-04-08 12:09:40,Georgetown,opened
